No.;Time;;;;;;Time 2;Time 1;Delay;;;Delay 1;Delay 2;Jitter
303;6,820695;;;;;;6,820995;6,820695;0,0003;;;-0,017333;0,017633;0,034966
304;6,820995;;;;;;6,838628;6,820995;0,017633;;;0,017217;0,000416;-0,016801
305;6,838628;;;;;;6,839044;6,838628;0,000416;;;0,000344;7,2E-05;-0,000272
306;6,839044;;;;;;6,839116;6,839044;7,2E-05;;;-0,002902;0,002974;0,005876
307;6,839116;;;;;;6,84209;6,839116;0,002974;;;0,002512;0,000462;-0,00205
308;6,84209;;;;;;6,842552;6,84209;0,000462;;;8,9E-05;0,000373;0,000284
309;6,842552;;;;;;6,842925;6,842552;0,000373;;;0,000373;0;-0,000373
310;6,842925;;;;;;6,842925;6,842925;0;;;0;0;0
311;6,842925;;;;;;6,842925;6,842925;0;;;-0,00017;0,00017;0,00034
312;6,842925;;;;;;6,843095;6,842925;0,00017;;;0,000127;4,3E-05;-8,4E-05
313;6,843095;;;;;;6,843138;6,843095;4,3E-05;;;-0,000933;0,000976;0,001909
